Iteration   Continuity  Energy  
755        0.0501488       0.0636841
756        0.046415       0.0514381
757        0.0620241       0.0809845
758        0.0450897       0.059057
759        0.0460677       0.0612178
760        0.0484517       0.0555738
761        0.0546021       0.065781
762        0.0515236       0.0685542
763        0.0560822       0.0752771
764        0.0336585       0.0364231
765        0.0541712       0.0708371
766        0.0404363       0.05579
767        0.0603776       0.0690375
768        0.0568119       0.0736037
769        0.0410114       0.0467192
770        0.0675013       0.0759363
771        0.049732       0.0626197
772        0.0620647       0.0805208
773        0.0349428       0.045641
774        0.049778       0.0580615
775        0.0646859       0.0850501
776        0.0459339       0.043339
777        0.0354445       0.0447196
778        0.036011       0.0460152
779        0.0279546       0.0333959
780        0.0287958       0.0385332
781        0.0350967       0.0408965
782        0.0407616       0.0360316
783        0.0273262       0.0398708
784        0.0347446       0.044259
785        0.0355084       0.0367881
786        0.0498436       0.0635164
787        0.0362586       0.0472016
788        0.0288971       0.0373648
789        0.0300952       0.0340247
790        0.0338214       0.0430425
791        0.0281256       0.0405795
792        0.0423881       0.0636708
793        0.0468453       0.058925
794        0.0236199       0.0342867
795        0.0359074       0.0454923
796        0.0310152       0.0368716
797        0.0413208       0.0589314
798        0.0252673       0.0353457
799        0.0369778       0.0531309
